Name,Ann Return (%),Ann Vol (%),Sharpe,Sortino,Max DD (%),Calmar,Skewness,Kurtosis,Tracking Error (%),Corr w/ SPY
Clone + AI Supervisor,6.97,15.61,0.318,0.356,-31.49,0.221,-0.849,30.177,11.66,0.847
Clone (unsupervised),13.24,18.77,0.599,0.689,-37.78,0.35,-0.862,26.919,10.98,0.851
SPY Buy & Hold,14.65,20.76,0.609,0.747,-34.1,0.43,-0.272,13.126,0.0,1.0
VIX Rule-Based,11.76,13.22,0.738,1.048,-19.72,0.596,-0.291,1.355,14.16,0.738
Static 60/40,8.74,11.26,0.599,0.689,-24.07,0.363,-0.862,26.919,12.57,0.851
Equal-Weight TSX,16.02,17.86,0.785,0.895,-35.98,0.445,-1.082,24.903,10.84,0.856
